keel-bench-cpu: unknown (no model name in /proc/cpuinfo)
keel-bench-cores: 8 logical
keel-bench-governor: performance
keel-bench-clock-mhz: unknown (no cpu MHz field)
keel-bench-platform: linux/arm64
keel-bench-toolchain: go1.27.0-X:simd
keel-bench-backend: scalar (available: scalar)
keel-bench-peak-method: measured on this host by BenchmarkPeak (register-only FMA saturation); the formula below is a cross-check, not the denominator (issue #11)
keel-bench-peak-formula: scalar: 5.6 GFLOP/s (2.81 GHz cpuinfo_max_freq x 2 FP ports, unfused: 1 flop/op x 1 lanes)
keel-bench-gomaxprocs: 1
keel-bench-kern: 8x8/neon (available: 8x8/neon 4x16/neon 8x8/scalar 4x16/scalar)
keel-bench-kern-class: fma insns-per-fma=0.000 (no vector backend in this build (class unused))
keel-bench-kern-audit: 
keel-bench-openblas: not available (no cgo reference harness built; rebuild with -tags openblas on a host that has OpenBLAS)
goos: linux
goarch: arm64
pkg: github.com/scttfrdmn/keel/bench
BenchmarkKernel/8x8/scalar/kc=8       	 2084592	       576.2 ns/op	         1.777 GFLOP/s	      1024 flops/call
BenchmarkKernel/8x8/scalar/kc=8       	 2085903	       575.9 ns/op	         1.778 GFLOP/s	      1024 flops/call
BenchmarkKernel/8x8/scalar/kc=8       	 2085691	       576.2 ns/op	         1.777 GFLOP/s	      1024 flops/call
BenchmarkKernel/8x8/scalar/kc=8       	 2084660	       576.3 ns/op	         1.777 GFLOP/s	      1024 flops/call
BenchmarkKernel/8x8/scalar/kc=8       	 2083882	       576.2 ns/op	         1.777 GFLOP/s	      1024 flops/call
BenchmarkKernel/8x8/scalar/kc=8       	 2085606	       576.2 ns/op	         1.777 GFLOP/s	      1024 flops/call
BenchmarkKernel/8x8/scalar/kc=8       	 2083936	       576.2 ns/op	         1.777 GFLOP/s	      1024 flops/call
BenchmarkKernel/8x8/scalar/kc=8       	 2083705	       576.3 ns/op	         1.777 GFLOP/s	      1024 flops/call
BenchmarkKernel/8x8/scalar/kc=8       	 2085442	       576.3 ns/op	         1.777 GFLOP/s	      1024 flops/call
BenchmarkKernel/8x8/scalar/kc=8       	 2084853	       576.1 ns/op	         1.777 GFLOP/s	      1024 flops/call
BenchmarkKernel/8x8/scalar/kc=8       	 2084701	       576.2 ns/op	         1.777 GFLOP/s	      1024 flops/call
BenchmarkKernel/8x8/scalar/kc=8       	 2085220	       576.0 ns/op	         1.778 GFLOP/s	      1024 flops/call
BenchmarkKernel/8x8/scalar/kc=8       	 2083754	       576.4 ns/op	         1.777 GFLOP/s	      1024 flops/call
BenchmarkKernel/8x8/scalar/kc=32      	  599889	      1997 ns/op	         2.051 GFLOP/s	      4096 flops/call
BenchmarkKernel/8x8/scalar/kc=32      	  599134	      1999 ns/op	         2.049 GFLOP/s	      4096 flops/call
BenchmarkKernel/8x8/scalar/kc=32      	  599426	      1998 ns/op	         2.050 GFLOP/s	      4096 flops/call
BenchmarkKernel/8x8/scalar/kc=32      	  595586	      1998 ns/op	         2.050 GFLOP/s	      4096 flops/call
BenchmarkKernel/8x8/scalar/kc=32      	  600105	      1998 ns/op	         2.050 GFLOP/s	      4096 flops/call
BenchmarkKernel/8x8/scalar/kc=32      	  601378	      1998 ns/op	         2.050 GFLOP/s	      4096 flops/call
BenchmarkKernel/8x8/scalar/kc=32      	  600319	      1999 ns/op	         2.049 GFLOP/s	      4096 flops/call
BenchmarkKernel/8x8/scalar/kc=32      	  603070	      1997 ns/op	         2.051 GFLOP/s	      4096 flops/call
BenchmarkKernel/8x8/scalar/kc=32      	  602797	      1998 ns/op	         2.051 GFLOP/s	      4096 flops/call
BenchmarkKernel/8x8/scalar/kc=32      	  600328	      1998 ns/op	         2.050 GFLOP/s	      4096 flops/call
BenchmarkKernel/8x8/scalar/kc=32      	  600129	      1998 ns/op	         2.050 GFLOP/s	      4096 flops/call
BenchmarkKernel/8x8/scalar/kc=32      	  599838	      1997 ns/op	         2.051 GFLOP/s	      4096 flops/call
BenchmarkKernel/8x8/scalar/kc=32      	  600280	      1997 ns/op	         2.051 GFLOP/s	      4096 flops/call
BenchmarkKernel/8x8/scalar/kc=32      	  600045	      1997 ns/op	         2.051 GFLOP/s	      4096 flops/call
